Date of Accident,Aircraft Type,Aircraft Registration,Operator,Deaths,Location,Country,Category,Year
1935-10-22,dh.86 express,G-ADCM,imperial airways,0.0,zwettl,austria,a1,1935
1935-10-24,ford 5-at-c tri-motor,Not Reported,private,0.0,hankow,china,c1,1935
1935-10-25,boulton paul p.71a,G-ACOY,imperial airways,0.0,brussel-haren ai...,belgium,a1,1935
1935-11-07,savoia-marchetti s.73p,OO-AGM,sabena,0.0,london-croydon a...,u.k.,a1,1935
1935-11-09,ford 5-at-.  tri-motor,Not Reported,taca de honduras,0.0,near jutiapa,honduras,a1,1935
1935-11-09,short s.17 kent,G-ABFB,imperial airways,0.0,brindisi,italy,o1,1935
1935-11-18,junkers g.24he,PP-CAS,syndicato condor,0.0,"ilhã©us, ba",brazil,a1,1935
1935-11-23,dh.66 hercules,G-ABCP,imperial airways,0.0,lake salisbury,uganda,a1,1935
1935-12-10,savoia-marchetti s.73,OO-AGN,sabena,11.0,tatsfield,u.k.,a1,1935
1935-12-10,potez 62,F-ANPH,air france,0.0,near auxerre,france,a1,1935
1935-12-24,ford 5-at-d tri-motor,NC433H,panagra,0.0,lima,peru,a1,1935
1935-12-31,short s.8 calcutta,G-AASJ,imperial airways,12.0,near alexandria,egypt,a1,1935
1936-01-14,douglas dc-2-120,NC14274,american airlines,17.0,"goodwin, ar",usa,a1,1936
1936-01-14,junkers ju-52/3m,624,colombian af,13.0,near tres esquinas ai...,colombia,a1,1936
1936-01-17,junkers ju-52/3mce,unreg.,lab,13.0,near cochabamba,bolivia,a1,1936
1936-02-28,douglas dc-2-115b,HB-ITI,swissair,0.0,zã¼rich-dã¼bendo...,switzerland,a1,1936
1936-03-05,ford 5-at-d tri-motor,27,cnac,0.0,near zigong,china,a1,1936
1936-03-16,junkers ju-52/3m,OE-LAL,ãlag,0.0,saualpe,austria,a1,1936
1936-03-26,ford 5-at-b tri-motor,X-ABCO,mexicana,14.0,near amecameca de juã...,mexico,a1,1936
1936-03-31,ford 5-at-d tri-motor,25,cnac,0.0,nanking airport ...,china,a1,1936
1936-04-07,douglas dc-2-112,NC13721,twa,12.0,"near fairchance, pa",usa,a1,1936
1936-04-11,sikorsky s-42,NC824M,pan am,3.0,port of spain,trinidad & tobago,a2,1936
1936-04-17,junkers ju-52/3m,D-ASOR,deutsche lufthansa,3.0,orvin (ilfingen),switzerland,a1,1936
1936-04-20,douglas dc-2-115k,OK-AIA,cls,0.0,near elburg,netherlands,a1,1936
1936-05-08,liorã©-et-olivier h.242/1,F-ANQG,air france,0.0,near algerian coast,mediterranean sea,a1,1936
1936-05-31,douglas dc-2-172,NC14979,twa,0.0,near chicago municipa...,usa,a1,1936
1936-06-09,fokker f.xxii,SE-ABA,ab aerotransport,2.0,malmã¶-bulltofta...,sweden,a1,1936
1936-06-16,junkers ju-52/3m,LN-DAE,dnl,7.0,"mount lihesten, ...",norway,a1,1936
1936-07-07,vickers valentia,K3166,raf,7.0,mersa matruh air...,egypt,a1,1936
1936-07-09,curtiss condor 18,NC728K,chamberlin flying service,0.0,terre haute-hulm...,usa,o1,1936
1936-07-20,junkers ju-52/3m,Not Reported,german af,2.0,oberhof,germany,a1,1936
1936-07-26,junkers g.38di,D-AZUR,deutsche lufthansa,0.0,dessau,germany,a1,1936
1936-07-29,curtiss t-32c condor ii,2,lan chile,0.0,copiapã³ airport...,chile,a1,1936
1936-08-08,ford 4-at-b tri-motor,NC5811,private,0.0,"hundred, wv",usa,a1,1936
1936-08-12,dh.86 express,G-ADEB,british airways,2.0,near altenkirchen,germany,a1,1936
1936-08-13,curtiss at-32a condor ii,NC12392,american airlines,0.0,glendale-grand c...,usa,a1,1936
1936-08-15,fokker f.xii,G-ADZI,aviaciã³n nacional,2.0,biarritz parme a...,france,a1,1936
1936-08-16,fokker f.xii,G-ADZK,aviaciã³n nacional,0.0,la rochelle-lago...,france,a1,1936
1936-08-22,short s.17 kent,G-ABFA,imperial airways,2.0,"mirabella bay, c...",greece,a1,1936
1936-09-15,dh.86a express,G-ADYF,british airways,3.0,london-gatwick a...,u.k.,a1,1936
1936-09-19,junkers ju-52/3mfe,D-AJUX,deutsche lufthansa,0.0,frankfurt,germany,a1,1936
1936-09-24,cant z.506,I-RODI,ala littoria,9.0,near benghazi,libya,a1,1936
1936-09-25,boulton paul p.71a,G-ACOX,imperial airways,2.0,near dungeness,u.k.,a1,1936
1936-09-29,a.w. aw.15 atalanta,G-ABTK,imperial airways,0.0,delhi,india,o1,1936
1936-10-10,douglas dc-2-118b,NC14273,panagra,3.0,near san josã© pinula,guatemala,a1,1936
1936-11-01,junkers ju-52/3mge,D-APOO,deutsche lufthansa,10.0,near tabarz,germany,a1,1936
1936-11-04,junkers ju-52/3mge,22-74,hisma,0.0,near madrid,spain,c1,1936
1936-11-05,junkers ju-52/3m,Not Reported,hisma,0.0,near algordon,spain,c1,1936
1936-11-17,junkers ju-52/3mge,D-ASUI,deutsche lufthansa,4.0,near lauf an der pegnitz,germany,a1,1936
1936-11-19,fokker f.xii,G-AEOT,british airways,2.0,"pound hill, tilg...",u.k.,a1,1936
1936-11-25,junkers ju-52/3m,Not Reported,hisma,0.0,near cuatro vientos,spain,c1,1936
1936-11-28,junkers ju-52/3m,D-ATAK,deutsche lufthansa,0.0,near hannover,germany,a1,1936
1936-12-03,junkers ju-52/3m,D-ASIH,deutsche lufthansa,6.0,le grand-bornand,france,a1,1936
1936-12-08,junkers ju-52/3m,22-78,condor legion,4.0,"near serranillos, ãvila",spain,a1,1936
1936-12-09,douglas dc-2-115e,PH-AKL,klm,15.0,london-croydon a...,u.k.,a1,1936
1936-12-16,fokker f.xii,45-6,aviaciã³n nacional,0.0,leã³n airport,spain,a1,1936
1936-12-19,douglas dc-2-112,NC13732,"north american aviation, op.for eastern air lines",0.0,"near milford, pa",usa,a1,1936
1936-12-25,douglas dc-2-118a,28,cnac,0.0,chengtu,china,a1,1936
1936-12-28,short s.8 calcutta,G-EBVG,imperial airways,0.0,"mirabello bay, c...",greece,o1,1936
1936-12-28,douglas dc-2-118b,24,cnac,0.0,near nanking airport ...,china,a2,1936
1937-01-03,junkers ju-52/3m,22-96,hisma,0.0,not reported,spain,u1,1937
1937-01-20,ford 5-at-c tri-motor,NC422H,deponti aviation company,0.0,"sioux city, ia",usa,o1,1937
1937-01-26,sabca savoia-marchetti s.73p,OO-AGR,sabena,12.0,near oran-es senia ai...,algeria,a1,1937
1937-02-09,douglas dc-3a-197,NC16073,united airlines,11.0,near san francisco mu...,usa,a1,1937
1937-02-16,junkers ju-52/3m,22-58,hisma,0.0,jarama,spain,c1,1937
1937-02-18,douglas dc-2-112,NC13734,eastern air lines,0.0,atlanta municipa...,usa,a1,1937
1937-03-13,junkers ju-52/3m,22-70,hisma,0.0,guadalajara,spain,c1,1937
1937-03-16,dh.86 express,G-ACVZ,imperial airways,3.0,elsdorf,germany,a1,1937
1937-03-24,short s.23 empire flying boat mk i,G-ADVA,imperial airways,5.0,near ouroux,france,a1,1937
1937-03-25,douglas dc-2-112,NC13730,twa,13.0,"near clifton, pa",usa,a1,1937
1937-04-01,ford 5-at-c tri-motor,NC8410,star air service,0.0,"lake spenard, ak",usa,a1,1937
1937-04-03,douglas dc-3-194b,PH-ALP,klm,8.0,"near mcnary, az",usa,a1,1937
1937-04-06,douglas dc-2-115m,EC-BFF,lape,0.0,santander-la alb...,spain,c1,1937
1937-04-06,junkers ju-52/3mg3e,33+K39,german af,0.0,liegnitz,germany,a1,1937
1937-05-07,douglas c-33 (dc-2),36-81,usaac,0.0,"near clay springs, az",usa,a1,1937
