Date of Accident,Aircraft Type,Aircraft Registration,Operator,Deaths,Location,Country,Category,Year
1979-08-31,lockheed l-049 constellation,HI-260,aerovias quisqueyana,0.0,santo domingo-la...,dominican rep.,o1,1979
1979-08-31,douglas dc-3-208a,HI-237,alas del caribe,0.0,santo domingo-la...,dominican rep.,o1,1979
1979-08-31,scottish aviation twin pioneer 1,N9965F,air north,0.0,pilot point airp...,usa,a1,1979
1979-09-01,antonov an-26,RDPL-34037,lao aviation,0.0,ban mai,thailand,a2,1979
1979-09-03,antonov an-24b,CCCP-46269,"aeroflot, arkhangelsk",40.0,near amderma airport ...,russia,a1,1979
1979-09-03,aã©rospatiale sn.601 corvette,OY-SBS,sterling airways,10.0,near nice-cã´te d'azu...,france,a1,1979
1979-09-04,dhc-3 otter,C-FFSU,labrador airways,5.0,"squaw lake, qc",canada,a2,1979
1979-09-07,dc-8-62h,I-DIWW,alitalia,0.0,"rome, tehran",iran,h2,1979
1979-09-09,bn-2a-8 islander,B-11107,taiwan airlines,0.0,orchid island ai...,taiwan,a1,1979
1979-09-11,boeing 707-324c,B-1834,china airlines,6.0,near taipei-chiang ka...,taiwan,a1,1979
1979-09-12,curtiss c-46a,N7768B,rich,0.0,near south caicos int...,turks & caicos,a1,1979
1979-09-12,boeing 727-230,D-ABFI,lufthansa,0.0,kã¶ln/bonn airpo...,germany,h2,1979
1979-09-13,douglas dc-3c,N37906,southern flyer inc,0.0,hattiesburg-bobb...,usa,o1,1979
1979-09-14,douglas dc-7,N4SW,butler aircraft comp.,12.0,"near klamath falls, or",usa,a1,1979
1979-09-14,dc-9-32,I-ATJC,ati,31.0,near sarroch,italy,a1,1979
1979-09-17,dc-9-32,CF-TLU,air canada,0.0,"near boston, ma",usa,a2,1979
1979-09-18,lockheed c-141b starlifter,64-0647,usaf,0.0,"charleston afb, ...",usa,a1,1979
1979-09-18,bn-2a-7 islander,C-FZVV,pacific coastal,4.0,blink horn point...,canada,a1,1979
1979-09-19,boeing kc-135a,58-0127,usaf,5.0,merced-castle af...,usa,a1,1979
1979-09-20,antonov an-2r,CCCP-56413,"aeroflot, belarus",0.0,near malyushin airfield,belarus,a1,1979
1979-09-20,douglas c-47a (dc-3),ET-AGU,ethiopian airlines,0.0,oborso,ethiopia,a2,1979
1979-09-25,beech 200 super king air,G-BGHR,eagle aircraft services,2.0,near nantes,france,a1,1979
1979-09-28,curtiss c-46a,N10624,miami air lease,0.0,near san andros,bahamas,a1,1979
1979-09-28,lockheed c-130h hercules,CP-1375,tab,4.0,near panama city-tocu...,panama,a1,1979
1979-09-30,dhc-6 twin otter 200,C-FWAF,west coast air,2.0,"porpoise bay, bc",canada,a1,1979
1979-10-03,nord 2501 noratlas,181/F-RBKT,french af,0.0,"royan, charente-...",france,a1,1979
1979-10-07,dc-8-62,HB-IDE,swissair,14.0,athens-ellinikon...,greece,a1,1979
1979-10-10,canadair cc-106 yukon (cl-44),CX-BKD,alas,0.0,montevideo-carra...,uruguay,a1,1979
1979-10-13,antonov an-2r,CCCP-70805,"aeroflot, yakutsk",0.0,not reported,russia,a1,1979
1979-10-16,fokker f-27 friendship 600,5A-DDU,libyan arab airlines,0.0,malta-luqa airpo...,malta,h2,1979
1979-10-18,douglas c-47 (dc-3),TG-AXA,aviateca,0.0,carmelita airpor...,guatemala,a1,1979
1979-10-19,antonov an-30b,84,soviet af,0.0,iturup island,russia,o1,1979
1979-10-20,bn-2a-21 islander,PK-VIQ,dirgantara air services,0.0,not reported,indonesia,a1,1979
1979-10-23,antonov an-2r,YR-APF,aviatia utilitara,0.0,campina,romania,a1,1979
1979-10-25,vickers 735 viscount,G-BFYZ,alidair,0.0,kirkwall airport...,u.k.,a1,1979
1979-10-27,antonov an-2tp,CCCP-32322,"aeroflot, yakutsk",3.0,lensk,russia,a1,1979
1979-10-27,beech 200 super king air,XC-PGR,mexican government,10.0,"near san ysidro, ca",usa,a1,1979
1979-10-30,boeing 727,Not Reported,psa,0.0,tijuana,mexico,h2,1979
1979-10-30,ilyushin il-14m,CCCP-61683,"aeroflot, moscow spimvl",0.0,near,denmark,o1,1979
1979-10-30,douglas c-47b (dc-3),N99663,frontier flying service,2.0,"bettles airport,...",usa,a1,1979
1979-10-31,dc-10-10,N903WA,western air lines,0.0,mexico city-juar...,mexico,a1,1979
1979-10-31,douglas dc-6,Not Reported,mexican af,3.0,near cozumel air base...,mexico,a1,1979
1979-10-31,yakovlev yak-40k,CCCP-87948,"aeroflot, north kavkaz",0.0,near tikhoretsk,russia,a1,1979
1979-11-01,dhc-6 twin otter 300,C-GTJA,austin airways,3.0,"big trout lake, on",canada,a1,1979
1979-11-05,bn-2a islander,P2-ATU,douglas airways,3.0,huabango,p.n. guinea,a1,1979
1979-11-05,dhc-6 twin otter 300,N23BC,spia,0.0,tau airport (tav),american samoa,a1,1979
1979-11-06,bn-2a-9 islander,YV-269C,transmandu,0.0,not reported,unknown country,u1,1979
1979-11-10,douglas c-47b (dc-3),ST-AHH,national agriculture org.,0.0,near kadugli airport,sudan,a1,1979
1979-11-13,curtiss c-46f,C-GYHT,lambair,0.0,near churchill-metrop...,canada,a1,1979
1979-11-13,douglas c-47a (dc-3),PT-KVT,con. tec. operacional de aviacao,0.0,near cascavel airport...,brazil,a1,1979
1979-11-15,boeing 727,Not Reported,american airlines,0.0,near washington-dulle...,usa,c2,1979
1979-11-16,martin 4-0-4,N40438,nevada airlines,0.0,grand canyon-nat...,usa,a1,1979
1979-11-16,yakovlev yak-40,CCCP-87454,"aeroflot, leningrad",3.0,vologda airport ...,russia,a1,1979
1979-11-18,fokker f-27 friendship 200,S2-ABG,biman bangladesh,0.0,savar,bangladesh,a1,1979
1979-11-18,lockheed l-188cf electra,N859U,transamerica airlines,3.0,"salt lake city, ut",usa,a1,1979
1979-11-19,douglas rc-54v (dc-4),N8060C,tiburon aircraft inc,2.0,"near mccormick, sc",usa,a1,1979
1979-11-19,cessna 500 citation i,N555AJ,national jet industries,2.0,near denver-arapahoe ...,usa,a1,1979
1979-11-19,iai arava 201,T-201,ecuador army,16.0,lojaloja airport...,ecuador,a1,1979
1979-11-21,iai arava 102,LV-MRX,ypf,8.0,"near puerto williams,...",chile,a1,1979
1979-11-23,ilyushin il-76,CCCP-86714,soviet af,7.0,near vitebsk airport ...,belarus,a1,1979
1979-11-23,dc-10-40,Not Reported,jal,0.0,tokyo-narita air...,japan,h2,1979
1979-11-24,convair cv-440-86,N444JM,mackey int. airlines,0.0,near freeport-grand b...,bahamas,a1,1979
1979-11-24,boeing 727,Not Reported,american airlines,0.0,el paso internat...,usa,h2,1979
1979-11-26,boeing 707-340c,AP-AWZ,pia,156.0,near taif,saudi arabia,a1,1979
1979-11-26,u-1a otter (dhc-3),C-FJIK,smithers air service,3.0,"takla narrows, bc",canada,a1,1979
1979-11-27,hawker siddeley hs-125-600b,236,irish af,0.0,dublin-baldonnel...,ireland,a1,1979
1979-11-28,dc-10-30,ZK-NZP,air new zealand,257.0,mount erebus,antarctica,a1,1979
1979-11-30,boeing 707-373c,HZ-ACE,saudi arabian,0.0,jeddah internati...,saudi arabia,a1,1979
1979-12-02,learjet 24,N300JA,era helicopters,0.0,unalaska airport...,usa,a1,1979
1979-12-03,dhc-6 twin otter 300,N8061V,evergreen helicopters,4.0,"near nome, ak",usa,a1,1979
1979-12-10,learjet 36a,I-AIFA,ferruzzi,0.0,near forli airport (frl),italy,a1,1979
1979-12-11,douglas dc-3c,N7302,commercial air freight inc,0.0,oaxaca,mexico,a1,1979
1979-12-12,martin 4-0-4,CP-1440,camba,10.0,near apolo airport (apb),bolivia,a1,1979
1979-12-15,cessna 500 citation i,YV-O-MAC-1,ministerio de agricultura y cria,2.0,machiques,venezuela,a1,1979
1979-12-18,douglas c-54d (dc-4),FAC-1106,satena,21.0,cerro toledo,colombia,a1,1979
1979-12-19,dhc-6 twin otter 300,HK-1710-W,an-son drilling,4.0,near oroque,colombia,a1,1979
1979-12-22,dhc-5d buffalo,FAP-348,peruvian af,29.0,near puerto esperanza,peru,a1,1979
1979-12-23,curtiss c-46d,CP-777,frigorificos movima,0.0,near la paz,bolivia,a1,1979
1979-12-23,fokker f-28 fellowship 1000,TC-JAT,thy,41.0,near ankara-esenboga ...,turkey,a1,1979
1979-12-23,gaf nomad n.22b,P2-DNL,douglas airways,16.0,manari airport (...,p.n. guinea,a1,1979
1979-12-25,ilyushin il-76m,CCCP-86036,soviet af,48.0,near kabul,afghanistan,a1,1979
1979-12-27,boeing 747-121sf,N771PA,pan am,0.0,london-heathrow ...,u.k.,a2,1979
1980-01-01,boeing 737-2a8,VT-EAH,indian airlines,0.0,ahmedabad airpor...,india,a2,1980
1980-01-02,boeing ec-135p,58-0007,usaf,0.0,hampton-langley ...,usa,o1,1980
1980-01-02,bn-2a-21 islander,HH-CNC,haiti air inter,9.0,grande-riviã¨re-...,haiti,a1,1980
1980-01-05,lockheed 18 learstar i,N163R,private,0.0,"palmyra island, ...",u.s. m.o. islands,a1,1980
1980-01-07,dc-9-32,I-DIKB,alitalia,0.0,roma-fiumicino a...,italy,o1,1980
1980-01-07,antonov an-12bp,Not Reported,soviet af,1.0,kabul airport (kbl),afghanistan,a2,1980
1980-01-11,convair cv-440-11,CP-1358,carga aã©reo transportada,0.0,camiare,bolivia,a1,1980
1980-01-13,dc-9-32,PK-GND,garuda,0.0,banjarmasin-sjam...,indonesia,a1,1980
1980-01-14,dc-9-32,I-DIZI,alitalia,0.0,palermo-punta ra...,italy,h2,1980
1980-01-15,iai arava 201,3D-DAB,swaziland af,2.0,zomba air base,malawi,a1,1980
1980-01-18,boeing 720,Not Reported,mea,0.0,beirut internati...,lebanon,h2,1980
1980-01-18,douglas c-47a (dc-3),L2-13/96,thai af,5.0,near sri racha,thailand,a1,1980
1980-01-21,boeing 727-86,EP-IRD,iran air,128.0,near tehran-mehrabad ...,iran,a1,1980
1980-01-23,fairchild f-27j,CP-1175,lab,0.0,santa ana-yacuma...,bolivia,a1,1980
1980-01-23,tupolev tu-134,SP-LGB,lot,0.0,warszawa-okecie ...,poland,a1,1980
1980-01-23,casa/nurtanio nc-212 aviocar,PK-XCE,nurtanio,11.0,near bogor,indonesia,a1,1980
1980-01-24,douglas dc-3a,HK-2214,aerotal colombia,4.0,bogotã¡-eldorado...,colombia,a1,1980
1980-01-24,fairchild fh-227b,5002,burmese af,43.0,near mandalay airport...,myanmar,a1,1980
1980-01-25,lockheed l-1011 tristar,Not Reported,delta air lines,0.0,havana,cuba,h2,1980
1980-01-27,boeing 720-059b,HK-725,avianca,0.0,quito-mariscal s...,ecuador,a1,1980
1980-01-28,boeing 720,Not Reported,mea,0.0,beirut internati...,lebanon,h2,1980
1980-01-30,dassault falcon 10,N253K,kellogg,2.0,chicago-merrill ...,usa,a1,1980
1980-01-30,dassault falcon 10mer,39,french navy,0.0,toul-rosiã¨res a...,france,u1,1980
1980-01-30,douglas c-118b (dc-6),128426,usmc,0.0,"alameda-nas, ca ...",usa,o1,1980
1980-01-30,ilyushin il-18,Not Reported,interflug,0.0,not reported,germany,h2,1980
1980-01-31,antonov an-26,RDPL-34037,lao aviation,0.0,vientiane-wattay...,laos,a1,1980
1980-02-02,lockheed l-188af electra,YS-07C,taca,0.0,san salvador,el salvador,o1,1980
1980-02-03,yakovlev yak-40,CU-T1219,cubana,1.0,baracoa airport ...,cuba,a1,1980
1980-02-06,grumman american g-1159 gulfstream ii tt,TR-KHB,gabon government,5.0,near ngaoundã©rã© air...,cameroon,a1,1980
1980-02-08,boeing kc-135q,60-0338,usaf,0.0,"plattsburgh afb,...",usa,o1,1980
1980-02-08,fokker f-27 friendship 600,9Q-CLP,air zaire,3.0,kinshasa-n'djili...,d.r. congo,a1,1980
1980-02-15,convair cv-240-0,N8330C,private,0.0,port-au-prince,haiti,a1,1980
1980-02-16,bristol 175 britannia 253,G-BRAC,redcoat air cargo,7.0,"billerica, ma",usa,a1,1980
1980-02-21,beech 200 super king air,VH-AAV,advance airlines,13.0,sydney-kingsford...,australia,a1,1980
1980-02-23,fairchild c-119g flying boxcar,Not Reported,indian af,46.0,agra-kheria air ...,india,a1,1980
1980-02-24,bn-2a-20 islander,PK-VIT,dirgantara air services,0.0,banjarmasin,indonesia,a1,1980
1980-02-27,boeing 707-309c,B-1826,china airlines,2.0,manila internati...,philippines,a1,1980
1980-02-28,douglas c-47 (dc-3),Not Reported,guatemala af,31.0,near poptun,guatemala,a1,1980
1980-03-01,tupolev tu-154a,CCCP-85103,"aeroflot, west siberia",0.0,orenburg airport...,russia,a1,1980
1980-03-01,antonov an-26,Not Reported,afghan af,0.0,not reported,unknown country,c1,1980
1980-03-03,learjet 25,N211MB,merchant bank,0.0,near port-au-prince a...,haiti,a1,1980
1980-03-07,antonov an-2r,SP-WSP,zua,0.0,not reported,unknown country,a1,1980
1980-03-09,bn-2a-26 islander,S7-AAE,air seychelles,0.0,praslin island a...,seychelles,a1,1980
1980-03-10,boeing 707,Not Reported,mea,0.0,beirut internati...,lebanon,h2,1980
1980-03-13,douglas c-47b (dc-3),CP-1243,aerolineas la paz,0.0,san borja,bolivia,a1,1980
1980-03-14,lockheed c-130h hercules,74-2064,usaf,18.0,near adana-incirlik a...,turkey,a1,1980
1980-03-14,ilyushin il-62,SP-LAA,lot,87.0,near warszawa-okecie ...,poland,a1,1980
1980-03-15,beech 200 super king air,N1KA,security pacific equipment lease,0.0,unknown location,usa,o1,1980
1980-03-17,douglas dc-9-14,N9103,texas international,0.0,baton rouge-ryan...,usa,a1,1980
1980-03-18,douglas c-47b (dc-3),ET-AGM,ethiopian airlines,0.0,near addis ababa-bole...,ethiopia,a1,1980
1980-03-20,antonov an-24rv,B-484,caac,26.0,near changsha airport...,china,a1,1980
1980-03-20,tupolev tu-134,Not Reported,aeroflot,0.0,not reported,unknown country,h2,1980
1980-03-25,learjet 36,D-CDFA,air traffic executive jet,0.0,near sebha airport (seb),libya,a1,1980
1980-03-25,douglas c-47b (dc-3),6851,south african af,3.0,within namibia,namibia,a1,1980
1980-03-27,beech 200 super king air,N456L,lufkin industries,10.0,"near parker, co",usa,a1,1980
1980-03-29,convair cv-880,HP-821,inair panama,0.0,panama city,panama,a1,1980
1980-03-30,bn-2a-9 islander,PT-JSC,votec,9.0,cuiabã¡-marechal...,brazil,a1,1980
1980-03-31,antonov an-24v,3X-GAU,air guinã©e,0.0,conakry airport ...,guinea,a1,1980
1980-04-03,boeing 707-373c,S2-ABQ,biman bangladesh,0.0,singapore-paya l...,singapore,a1,1980
1980-04-03,canadair challenger 600,C-GCGR-X,canadair,1.0,"mojave, ca",usa,a1,1980
1980-04-03,antonov an-2,CCCP-16027,"aeroflot, yakutsk",0.0,near aldan airport (adh),russia,a1,1980
1980-04-08,bn-2a trislander mk.iii-2,PK-KTI,bali int. air service,2.0,balikpapan-sepin...,indonesia,a1,1980
1980-04-09,boeing 727,Not Reported,american airlines,0.0,"dallas, havana",cuba,h2,1980
1980-04-11,douglas c-47a (dc-3),N64490,private,3.0,near athol-silverwood...,usa,a1,1980
1980-04-11,learjet 25b,N25TA,thunderbird airways,2.0,"near conlon, tx",usa,a1,1980
1980-04-12,boeing 727-27c,PT-TYS,transbrasil,55.0,near florianã³polis-h...,brazil,a1,1980
1980-04-13,antonov an-2t,CCCP-62479,"aeroflot, yakutsk",0.0,not reported,russia,a1,1980
1980-04-14,antonov an-24b,CCCP-47732,"aeroflot, krasnoyarsk",2.0,krasnoyarsk airp...,russia,a1,1980
1980-04-14,boeing 727,Not Reported,continental air lines,0.0,denver-stapleton...,usa,h2,1980
1980-04-17,lockheed p-3c orion,158213,us navy,0.0,pago pago,american samoa,a1,1980
1980-04-18,antonov an-24b,CCCP-46220,"aeroflot, moscow spimvl",0.0,moskva-bykovo ai...,russia,a1,1980
1980-04-21,sabreliner 40,XA-EEU,aeroservicios internacionales,0.0,lã©on,mexico,u1,1980
1980-04-23,douglas c-47b (dc-3),N709Z,florida preferred equity,0.0,"near dania, fl",usa,a1,1980
1980-04-24,lockheed ec-130e hercules,62-1809,usaf,5.0,posht-i-badam,iran,a1,1980
1980-04-25,boeing 727-46,G-BDAN,dan-air services,146.0,esperanzo forest,spain,a1,1980
1980-04-27,hawker siddeley hs-748,HS-THB,thai airways,44.0,near bangkok-don muan...,thailand,a1,1980
1980-04-28,beech 99,F-BTMO,compagnie aã©rienne du languedoc,0.0,near paris-orly airpo...,france,a1,1980
1980-04-28,douglas c-54q (dc-4),CP-1351,trak airways,0.0,rã­o beni,bolivia,a1,1980
1980-05-01,boeing 727,Not Reported,psa,0.0,stockton airport...,usa,h2,1980
1980-05-02,dc-9-81 (md-81),N980DC,mcdonnell douglas,0.0,"edwards afb, ca ...",usa,a2,1980
1980-05-06,learjet 23,N866JS,kennedy flite center,2.0,richmond interna...,usa,a1,1980
1980-05-06,boeing 727-172c,CS-TBQ,tap,0.0,"madrid, lisbon",portugal,h2,1980
1980-05-09,antonov an-2t,SP-DNF,wsk mielec,0.0,not reported,unknown country,a1,1980
1980-05-09,douglas c-47a (dc-3),N100MA,private,0.0,"near la macarena, meta",colombia,c1,1980
1980-05-11,boeing 707-329c,OO-SJH,"sabena, op.for zicas",0.0,douala airport (...,cameroon,a1,1980
1980-05-13,bn-2a-6 islander,PT-KHK,votec,7.0,near sã£o paulo-virac...,brazil,a1,1980
1980-05-13,swearingen sa226-tc metro ii,VH-SWO,skywest airlines (australia),0.0,near esperance airpor...,australia,a1,1980
1980-05-13,ilyushin il-14,CU-T322,cubana,3.0,near varadero,cuba,a1,1980
1980-05-13,bn-2a-3 islander,PK-OAB,airfast indonesia,0.0,not reported,unknown country,u1,1980
1980-05-15,grumman g-73 mallard,Not Reported,chalk's,0.0,miami seaplane b...,usa,h2,1980
1980-05-16,curtiss c-46a,YN-BVL,lanica,0.0,bonanza-san pedr...,nicaragua,a1,1980
1980-05-19,learjet 25d,N125NE,northeast jet,2.0,"near sarasota, fl, us...",atlantic ocean,a1,1980
1980-05-22,dornier do 28d-2 skyservant,58+88,german af,0.0,fã¼rstenfeldbruck,germany,a1,1980
1980-05-24,convair cv-240-0,N300GR,private,3.0,"near daytona beach, fl",usa,a1,1980
1980-05-24,dhc-3 otter,CF-GBX,central air transport,0.0,"carling lake, on",canada,a1,1980
1980-05-26,fokker f-27 friendship 400m,NAF904,nigerian af,18.0,near lagos,nigeria,a1,1980
1980-05-28,douglas c-47 (dc-3),HR-SAC,sahsa,0.0,utila,honduras,a1,1980
1980-05-28,lockheed c-130h hercules,T.10-1,spanish af,10.0,near las palmas-gando...,spain,a1,1980
1980-05-31,antonov an-2td,SP-ANC,wsk mielec,0.0,gierioz,poland,a1,1980
1980-06-02,fairchild f-27j,CP-1117,lab,13.0,near yacuiba,bolivia,a1,1980
1980-06-03,shorts 330-100,N844SA,suburban airlines,0.0,allentown intern...,usa,o1,1980
1980-06-06,antonov an-22a,CCCP-09311,soviet af,3.0,near moskva-vnukovo a...,russia,a1,1980
1980-06-08,yakovlev yak-40k,D2-TYC,taag,19.0,near matala,angola,c1,1980
1980-06-12,avia 14t,3151,czechoslovak af,0.0,brno-cernovice,czech rep.,a1,1980
1980-06-12,swearingen sa226-tc metro ii,N650S,air wisconsin,13.0,"near valley, ne",usa,a1,1980
1980-06-12,yakovlev yak-40,CCCP-87689,"aeroflot, tajikistan",29.0,near dushanbe,tajikistan,a1,1980
1980-06-14,antonov an-26,235,afghan af,0.0,khost airport (kht),afghanistan,a1,1980
1980-06-17,antonov an-26,229,soviet af,0.0,kabul airport (kbl),afghanistan,a1,1980
1980-06-19,dc-9-81 (md-81),N1002G,mcdonnell douglas,0.0,yuma internation...,usa,a1,1980
1980-06-19,se-210 caravelle vi-r,N905MW,airborne express,0.0,atlanta municipa...,usa,a1,1980
1980-06-21,hawker siddeley hs-748,HS-THG,thai airways,0.0,chiang rai airpo...,thailand,a1,1980
1980-06-22,lockheed l-1049h super constellation,N74CA,air traders int.,3.0,near columbus municip...,usa,a1,1980
1980-06-27,douglas dc-9-15,I-TIGI,itavia,81.0,"near ustica, italy [t...",mediterranean sea,c1,1980
1980-06-27,bn-2a-6 islander,I-BADE,transavio,0.0,near isola d'elba,italy,a1,1980
1980-06-30,boeing 737-287c,LV-JND,aerolineas argentinas,0.0,"buenos aires, ba",argentina,h2,1980
1980-07-02,douglas c-47 (dc-3),Not Reported,thai navy,2.0,near prachuap khiri k...,indian ocean,a1,1980
1980-07-05,fairchild c-119 flying boxcar,N90268,gifford aviation,0.0,king salmon airp...,usa,a1,1980
1980-07-07,embraer emb-110p1 bandeirante,XA-DAK,instituto mex. de seguridad social,13.0,near tepic airport (tpq),mexico,a1,1980
1980-07-07,bn-2a-26 islander,EI-BBR,aer arann,0.0,galway-carnmore ...,ireland,a1,1980
1980-07-08,tupolev tu-154b-2,CCCP-85355,"aeroflot, kazakstan",166.0,near alma-ata airport...,kazakhstan,a1,1980
1980-07-10,douglas c-47b (dc-3),4X-FNV/036,israeli af,4.0,north sinai,egypt,a1,1980
1980-07-11,boeing 727,Not Reported,northwest orient airlines,0.0,seattle/tacoma i...,usa,h2,1980
1980-07-12,dhc-6 twin otter 300,943,chilean af,1.0,near santiago-los cer...,chile,a1,1980
1980-07-12,douglas dc-3,Not Reported,unknown,3.0,port-au-prince a...,haiti,a1,1980
1980-07-12,boeing 727,Not Reported,philippine air lines,0.0,manila,philippines,h2,1980
1980-07-14,vickers 745d viscount,HC-BHB,aerolineas condor,0.0,loja airport (loh),ecuador,a1,1980
1980-07-17,vickers 708 viscount,G-ARBY,alidair,0.0,ottery st. mary,u.k.,a1,1980
1980-07-18,yakovlev yak-40,CCCP-87793,"aeroflot, arkhangelsk",0.0,arkhangelsk-tala...,russia,a1,1980
1980-07-22,lockheed l-1011 tristar,Not Reported,delta air lines,0.0,camaguey,cuba,h2,1980
1980-07-24,nord 2501d noratlas,HC-AXK,atesa,2.0,within pastaza province,ecuador,a1,1980
1980-07-24,boeing 737-269,9K-ACV,kuwait airways,0.0,"kuwait, manama, ...",kuwait,h2,1980
1980-07-27,douglas dc-7cf,CP-1291,lambda air cargo,0.0,trujillo airport...,peru,u1,1980
1980-07-27,consolidated p4y-2g super privateer,N2870G,hawkins & powers,0.0,"ramona airport, ca",usa,a1,1980
1980-07-31,boeing 707-358c,4X-ATX,el al,0.0,tel aviv-ben gur...,israel,o2,1980
1980-07-31,antonov an-2r,SP-WLU,zua,0.0,krosinko,poland,a1,1980
1980-08-01,douglas r4d-5 (dc-3),N45864,private,0.0,new smyrna beach...,usa,a1,1980
1980-08-01,douglas dc-8-43f,OB-R-1143,aeronaves del peru,3.0,near mexico city-juar...,mexico,a1,1980
1980-08-03,dhc-3 otter,N433GR,yute air alaska,2.0,"near togiak, ak",usa,a1,1980
1980-08-06,fairchild f-27,N707WA,athens leasing corp.,0.0,"near bridgeport, tx",usa,a2,1980
1980-08-07,tupolev tu-154b-1,YR-TPH,tarom,1.0,nouadhibou airpo...,mauritania,a1,1980
1980-08-10,boeing 737,Not Reported,air florida,0.0,havana,cuba,h2,1980
1980-08-11,bn-2a-6 islander,PT-KAC,prospec,3.0,near rio de janeiro-s...,brazil,a1,1980
1980-08-13,learjet 35a,EC-DFA,spantax,4.0,near palma de mallorc...,spain,a1,1980
1980-08-13,boeing 737,Not Reported,air florida,0.0,havana,cuba,h2,1980
1980-08-14,dc-10,Not Reported,national airlines,0.0,havana,cuba,h2,1980
1980-08-16,lockheed l-1011 tristar,Not Reported,delta air lines,0.0,havana,cuba,h2,1980
1980-08-16,dc-9,Not Reported,republic airlines,0.0,havana,cuba,h2,1980
1980-08-16,boeing 727,Not Reported,eastern air lines,0.0,havana,cuba,h2,1980
1980-08-18,dc-9,Not Reported,eastern air lines,0.0,atlanta municipa...,usa,h2,1980
1980-08-19,fokker f-27 friendship 400,XY-ADO,burma airways,0.0,maulmyine airpor...,myanmar,a1,1980
1980-08-19,lockheed l-1011 tristar 200,HZ-AHK,saudi arabian,301.0,riyadh internati...,saudi arabia,a1,1980
1980-08-23,douglas c-47 (dc-3),HJ235,indian af,9.0,guwahati,india,a1,1980
1980-08-23,lockheed l-100-30 hercules,N18ST,transamerica airlines,0.0,"otay, ca",usa,a2,1980
1980-08-25,bn-2a trislander mk.iii-1,9L-LAQ,sierra leone airways,0.0,freetown-hasting...,sierra leone,o1,1980
1980-08-26,lockheed l-1011 tristar,Not Reported,eastern air lines,0.0,havana,cuba,h2,1980
1980-08-26,vickers 812 viscount,PK-IVS,"feat, op.for bouraq indonesia",37.0,near jakarta-kemayora...,indonesia,a1,1980
1980-08-28,vickers 768d viscount,VT-DJC,huns air,0.0,vijayawada airpo...,india,a1,1980
1980-08-29,dc-8,Not Reported,braniff airways,0.0,lima-callao inte...,peru,h2,1980
1980-08-29,douglas c-47b (dc-3),2016,tam paraguay,1.0,asunciã³n,paraguay,a1,1980
1980-09-02,dhc-6 twin otter 300,HC-BAV,tame ecuador,0.0,24 mayo airstrip...,ecuador,a1,1980
1980-09-03,boeing 727-21,N327PA,pan am,0.0,san josã©-juan s...,costa rica,a1,1980
1980-09-05,lockheed l-100-20 hercules,KAF317,kuwait af,8.0,saint-vincent-de...,france,a1,1980
1980-09-05,lockheed p-3b orion,154591,us navy,0.0,barbers point na...,usa,a1,1980
1980-09-06,bn-2a-21 islander,5T-MAQ,mauritanian af,0.0,not reported,mauritania,u1,1980
1980-09-08,boeing 727,Not Reported,eastern air lines,0.0,"tampa, havana",cuba,h2,1980
1980-09-09,boeing 727,Not Reported,united airlines,0.0,sacramento metro...,usa,o2,1980
1980-09-10,douglas c-47 (dc-3),HK-329,aeronorte,3.0,near puerto berrã­o,colombia,a1,1980
1980-09-12,boeing 727,Not Reported,eastern air lines,0.0,"miami, fl",usa,h2,1980
1980-09-12,douglas dc-8-33f,N715UA,aeronaves del peru,3.0,near iquitos,peru,a1,1980
1980-09-12,douglas dc-3a,N75KW,florida commuter airlines,34.0,near west end settlement,bahamas,a1,1980
1980-09-13,boeing 727,Not Reported,delta air lines,0.0,havana,cuba,h2,1980
1980-09-14,lockheed c-130e hercules,453,saudi af,89.0,near madinah-mohammad...,saudi arabia,a1,1980
1980-09-14,lockheed c-130h hercules,9T-TCE,zaire af,36.0,kindu airport (knd),d.r. congo,a1,1980
1980-09-14,boeing 727,Not Reported,eastern air lines,0.0,"miami, fl",usa,h2,1980
1980-09-15,douglas dc-6b,N9018N,jmg inc,3.0,near haiti,haiti,a1,1980
1980-09-15,ilyushin il-14p,CCCP-41831,"aeroflot, arkhangelsk",0.0,near bereznik airport...,russia,a1,1980
1980-09-17,dhc-5d buffalo,9T-CBC,zaire af,33.0,near kindu airport (knd),d.r. congo,a1,1980
1980-09-17,boeing 727,Not Reported,delta air lines,0.0,havana,cuba,h2,1980
1980-09-18,douglas dc-7c,N75000,private,0.0,near castilla la nueva,colombia,a1,1980
1980-09-20,curtiss c-46a,HI-197,unknown,0.0,near peninsula de la ...,colombia,a1,1980
1980-09-21,dhc-6 twin otter 300,N46RA,rio airways,0.0,wichita falls-ki...,usa,a2,1980
1980-09-22,convair cv-240-6,ZP-CDO,unknown,0.0,"near okeechobee, fl",usa,a1,1980
1980-09-22,bn-2a-27 islander,TF-RTO,flugfelag austurlands,3.0,mount smjã¶rfjã¶...,iceland,a1,1980
1980-09-22,boeing 707-3j9c,5-8302,iran af,0.0,tehran-mehrabad ...,iran,o1,1980
1980-09-23,ilyushin il-76,YI-AIO,iraqi airways,0.0,baghdad-saddam i...,iraq,c1,1980
1980-09-24,antonov an-24tv,YI-AEM,iraqi airways,0.0,near kirkuk airport (...,iraq,a1,1980
1980-10-01,cessna 500 citation i,G-BPCP,penarth commercial properties,1.0,jersey-states ai...,u.k.,a1,1980
